sample_id,CR.20.Cecal,CR.21.Cecal,CR.22.Cecal,CR.23.Cecal,Env.10.Cecal,Env.11.Cecal,Env.12.Cecal,Env.13.Cecal,Jax.40.Cecal,Jax.41.Cecal,Jax.42.Cecal,Jax.43.Cecal,Tac.30.Cecal,Tac.31.Cecal,Tac.32.Cecal,CR.20.Stool,CR.21.Stool,CR.22.Stool,CR.23.Stool,Evn.10.Stool,Env.11.Stool,Env.12.Stool,Jax.40.Stool,Jax.41.Stool,Jax.42.Stool,Jax.43.Stool,Tac.30.Stool,Tac.31.Stool,Tac.32.Stool,Tac.33.Stool
CR.20.Cecal,0,0.33303376663804923,0.3408649902989501,0.3560423827401119,0.5261396794599833,0.47462069939167667,0.4613884332446158,0.43034717619295826,0.548069877960516,0.5455600903539997,0.6018463397032257,0.46104709994533605,0.5537954812044813,0.5016426511786011,0.551988340132732,0.3686809775385172,0.3981579490572055,0.36348695707615236,0.38327566516195843,0.5255601721972315,0.4588070124165523,0.4967001611721383,0.6257018096236046,0.6215069630937395,0.5894648145684308,0.6094753421598155,0.6155671879496675,0.5114993081220983,0.5177877217319358,0.5302857348725263
CR.21.Cecal,0.33303376663804923,0,0.3173057149512252,0.3400212965610464,0.5485552236065443,0.4308746349397743,0.4266136317337465,0.4072785278297243,0.5611170497915363,0.5555058532358859,0.5872189048566263,0.4766022998991015,0.5452283777478689,0.4789053708354008,0.5268357450555881,0.3977279268360803,0.3291668833390437,0.3708081463182874,0.3521622310232125,0.471839971757591,0.44374989194605846,0.48061235907463185,0.6200894103441223,0.6182125776997784,0.5900911968359858,0.5950805198670436,0.5743790882712972,0.4765411474459548,0.5154102690072432,0.5212095206119345
CR.22.Cecal,0.3408649902989501,0.3173057149512252,0,0.31545075779184073,0.5441030247141575,0.44497786222203606,0.433925368505679,0.40955727670212916,0.5357093599579453,0.5363052274657583,0.5950919382997243,0.45466855593850597,0.5178122070602287,0.4894662929869084,0.5330547997967152,0.3712932648928115,0.38153704393811083,0.31126025471607577,0.33748335085351583,0.5020020261565621,0.45662078828006786,0.4751322361526544,0.6161148116096485,0.61882550444333,0.5861274196221712,0.6013583449987897,0.5578433581253738,0.470808424090433,0.50963168044106,0.5113203555558566
CR.23.Cecal,0.3560423827401119,0.3400212965610464,0.31545075779184073,0,0.5653145018560721,0.45107122745831646,0.42561536351137397,0.41061176706395885,0.563797016746751,0.5684029824167353,0.6370082487049651,0.4944880787148903,0.5482391543004196,0.5014017838856669,0.5659195955175099,0.42631779746897114,0.38908919840237816,0.39565435533608667,0.2720325617001499,0.48263307246147824,0.4917058304833869,0.4878968126213847,0.6503066745233772,0.6452534852486572,0.6108412277769467,0.6163670936543739,0.5818161949089049,0.4941263317532584,0.5224419788156494,0.5373834258180391
Env.10.Cecal,0.5261396794599833,0.5485552236065443,0.5441030247141575,0.5653145018560721,0,0.44685546887287964,0.4656479785124724,0.4730714504234045,0.6026686215739058,0.5841791181415819,0.6143865385739284,0.5152373362649367,0.5113106173357964,0.5525231711726591,0.5466349858216201,0.55612806462721,0.5757702905434678,0.5869718959589029,0.5643835005592093,0.5380687530020607,0.49879419636645383,0.5200671652797272,0.6568811320964614,0.6333136947535389,0.6168692288034057,0.6313016084001951,0.6316750512601533,0.5058651415732247,0.584864916347894,0.5828485109513589
Env.11.Cecal,0.47462069939167667,0.4308746349397743,0.44497786222203606,0.45107122745831646,0.44685546887287964,0,0.32290223166388404,0.28433930224934156,0.5886402336417581,0.596276180441727,0.6527059583321366,0.5296381468506983,0.49826987550616764,0.44550028289651916,0.5287606874833174,0.4554905096296084,0.5079299714867683,0.48704989113604596,0.480392617020007,0.4099796329729094,0.3973225520490272,0.4075664847707457,0.6655785814247345,0.6714253222541213,0.6200142684871968,0.633271245760972,0.5906359213530888,0.4307159832570832,0.47596673772073345,0.4980058891033187
Env.12.Cecal,0.4613884332446158,0.4266136317337465,0.433925368505679,0.42561536351137397,0.4656479785124724,0.32290223166388404,0,0.2769431774673007,0.5739442171820057,0.5741211674472814,0.616406880694843,0.5260176772256275,0.4746328172876473,0.4449450017465476,0.5285119582007988,0.4741890580507088,0.5096053083208457,0.48003416467985527,0.4485976564631589,0.3732064937511286,0.3360911490638333,0.380018265073192,0.6529819513978894,0.6278686197800893,0.6292594365664745,0.6234756296534834,0.6019444708205877,0.4262891247327966,0.46712901427569803,0.4933474216411558
Env.13.Cecal,0.43034717619295826,0.4072785278297243,0.40955727670212916,0.41061176706395885,0.4730714504234045,0.28433930224934156,0.2769431774673007,0,0.5369060679188074,0.5534470131821122,0.6100406893000307,0.49356197668743407,0.4887531441301539,0.45390003384151667,0.5271368741636662,0.4683928622079835,0.5030874781877204,0.45802533651170246,0.44289700938908483,0.3938475498095625,0.39343958076947205,0.33713715923372134,0.623072091846077,0.629843228111251,0.5931443744598923,0.5833023686561585,0.5803859692434813,0.4136394315910047,0.4607644714493064,0.4931336113920988
Jax.40.Cecal,0.548069877960516,0.5611170497915363,0.5357093599579453,0.563797016746751,0.6026686215739058,0.5886402336417581,0.5739442171820057,0.5369060679188074,0,0.2595321645377145,0.29229678665543596,0.35756457300681743,0.5306541999588381,0.5328347875293206,0.5250165401591333,0.5696019181885259,0.6192374610395245,0.5850238666354025,0.5849152824956277,0.6082653283355565,0.5528679295233848,0.5828247575143414,0.33650807697453594,0.2858298914519224,0.3351089011111053,0.27961671726892434,0.558428628412745,0.5150098072480361,0.594531129063984,0.5401357305453046
Jax.41.Cecal,0.5455600903539997,0.5555058532358859,0.5363052274657583,0.5684029824167353,0.5841791181415819,0.596276180441727,0.5741211674472814,0.5534470131821122,0.2595321645377145,0,0.28165297402649503,0.3104570045729829,0.5540991067678726,0.5651523858662075,0.548858014770591,0.5904904475759506,0.6069346859867973,0.6047466001531144,0.6026848996500682,0.6417037031972697,0.569613387881307,0.6022531209041047,0.41050992957728877,0.27701082395387716,0.33266348570010007,0.2982935837505423,0.5469310366252298,0.5306915268258805,0.5988969559482635,0.5544815426080397
